username,issue_level,create_issue
timmywil,10-50,19
dmethvin,10-50,40
mgol,150-200,174
rwaldron,<10,1
gibson042,50-100,51
markelog,50-100,66
scottgonzalez,<10,1
Krinkle,10-50,21
jbedard,<10,6
mr21,<10,6
dcherman,<10,2
justinbmeyer,<10,1
LeonardoBraga,<10,1
paulirish,<10,1
stevemao,<10,6
anthonyryan1,<10,1
arthurvr,<10,1
AurelioDeRosa,<10,2
jonathansampson,<10,1
FarSeeing,<10,2
ShashankaNataraj,<10,1
victor-homyakov,<10,1
sowcow,<10,1
agcolom,<10,2
enbo,<10,1
rhyzx,<10,1
cvrebert,<10,1
dwilson6,<10,1
eriklax,<10,1
fsateler,<10,1
gabrielschulhof,<10,1
togakangaroo,<10,1
jtrumbull,<10,2
jobeland,<10,1
ufologist,<10,1
poppinlp,<10,2
emibloque,<10,1
mlewand,<10,1
marjakh,<10,1
staabm,<10,2
vanderlee,<10,2
mhbseal,<10,1
nicolashenry,<10,1
patocallaghan,<10,1
caillou,<10,1
silverwind,<10,2
SeanHenderson,<10,1
stevenbenner,<10,1
todorpr,<10,1
wonseop,<10,1
mixed,<10,1
zackhall,<10,1
tbepdb,<10,1
buddh4,<10,1
TechQuery,<10,4
