username,merged_pull_request
timmywil,29
dmethvin,20
jzaefferer,2
mgol,121
rwaldron,49
gibson042,35
markelog,12
mikesherov,3
csnover,14
gnarf,6
louisremi,8
jitter,9
scottgonzalez,2
Krinkle,2
jbedard,9
danheberden,8
azatoth,7
cowboy,2
kswedberg,1
jboesch,4
mathiasbynens,1
sindresorhus,1
ajpiano,3
gf3,1
rdworth,2
xavi-,1
SlexAxton,3
cmcnulty,1
dcherman,1
SaptakS,3
petersendidit,1
fracmak,1
paulirish,1
nanto,1
anton-ryzhov,1
ctalkington,1
datag,1
JessThrysoee,1
kborchers,1
robmorgan,1
sbisbee,1
ShashankaNataraj,1
tjvantoll,1
alexlouden,1
Andrei15193,1
enbo,1
teabyii,1
coliff,1
edg2s,1
hzoo,1
presbrey,1
jobeland,1
JustinDrake,1
marjakh,1
matankb,1
patocallaghan,1
RedWolves,1
rjgotten,1
shichuan,1
Bubbi,1
inukshuk,1
wonseop,1
xavierm02,1
buddh4,1
tmybr11,1
TechQuery,1
