username,issue_level,create_issue
timmywil,10-50,16
gibson042,<10,-38
markelog,<10,-2
mgol,<10,-13
jitter,<10,-4
csnover,<10,-4
dmethvin,<10,3
LosTFx,<10,1
jonathansampson,<10,-3
mathiasbynens,<10,-1
jzaefferer,<10,-1
mikesherov,<10,-4
SaptakS,<10,-2
Krinkle,<10,-2
ameshkov,<10,-3
agcolom,<10,-1
bnjmnt4n,<10,-1
ChadKillingsworth,<10,-2
cvrebert,<10,-1
gnarf,<10,-1
danburzo,<10,-1
dcherman,<10,-2
fredj,<10,-2
mygoare,<10,-1
dangkyokhoang,<10,-1
jdufresne,<10,-1
jsoref,<10,-1
JuanMaRuiz,<10,-2
YetiCGN,<10,-1
kkirsche,<10,-1
walkingeyerobot,<10,-1
neftaly,<10,-1
pborreli,<10,-1
sd5869,<10,-1
stevemao,<10,-1
regseb,<10,-1
tomvonclef,<10,-1
jacquev6,100-150,117
sfdye,10-50,12
jzelinskie,<10,3
s-t-e-v-e-n-k,<10,1
jayfk,<10,2
allevin,<10,3
adambaratz,<10,2
nhomar,<10,2
davidbrai,<10,1
jasonwhite,<10,2
dfarr,<10,2
Ferada,<10,1
sbesson,<10,1
babineaum,<10,2
cameronbwhite,<10,2
crwilcox,<10,1
danvk,<10,1
dpocock,<10,1
xobb1t,<10,1
gshefer,<10,1
khornberg,<10,1
elfosardo,<10,1
korfuri,<10,1
Hanaasagi,<10,1
chanukov,<10,2
lurch,<10,1
aronwc,<10,1
MrBlaise,<10,1
brianjmurrell,<10,2
cro,<10,2
ohmkay,<10,1
cjgdev,<10,1
YakDriver,<10,2
edunham,<10,1
gjabouley-invn,<10,3
kokosing,<10,1
isouza-daitan,<10,1
JessMorgan,<10,1
jpmartins201,<10,3
jglapa,<10,1
lmazuel,<10,2
mabrowning,<10,1
makuk66,<10,1
monperrus,<10,1
mloskot,<10,1
PhilipMay,<10,1
klnrajareddy,<10,1
sjcorbett,<10,1
shibasisp,<10,1
zume2020,<10,1
webknjaz,<10,4
TuuuNya,<10,1
tylertreat,<10,1
boreal321,<10,1
bbi-yggy,<10,1
cclauss,<10,1
AnYeMoWang,<10,1
nurupo,<10,1
sechastain,<10,1
