username,issue_level,issue,impact,pull_request,commit
arschmitz,< 10,3,20,1,0
sfrisk,10 - 100,22,20,1,0
geekman-rohit,< 10,1,0,1,0
cvrebert,< 10,4,0,0,1
MichaelArestad,< 10,1,0,0,0
nashvail,< 10,5,0,0,0
arthurvr,< 10,1,0,0,2
cbracco,< 10,1,0,0,0
prasunanand,< 10,3,0,0,0
scottgonzalez,10 - 100,11,20,2,31
AndSheCodes2,< 10,2,0,0,0
alexeiTruhin,< 10,1,0,0,0
agcolom,< 10,1,0,0,1
rawteech,< 10,1,0,0,0
danielle-b,< 10,1,0,0,0
jzaefferer,< 10,2,1,9,329
kristyjy,< 10,1,0,0,0
awayken,< 10,2,0,1,0
SatyaSudheer,< 10,1,0,1,0
thejdeep,< 10,1,0,0,0
scottgonzalez,< 10,6,20,2,31
rxaviers,< 10,3,20,2,0
jzaefferer,< 10,2,1,9,329
tjvantoll,< 10,3,0,1,2
rdworth,< 10,2,0,2,7
arschmitz,< 10,2,0,0,0
gnarf,10 - 100,55,21,6,55
kborchers,< 10,1,0,1,2
ajpiano,< 10,3,0,3,7
agcolom,< 10,2,0,0,1
petersendidit,< 10,2,0,1,3
ericcarraway,< 10,2,0,0,0
mgol,200 - 500,250,22,123,322
fnagel,< 10,1,0,0,0
mroswell,< 10,1,0,0,0
mikesherov,10 - 100,87,1,3,85
RedWolves,< 10,2,0,1,1
rlovtangen,< 10,1,0,0,0
usmonster,< 10,1,0,0,0
bakkegaard,< 10,1,0,1,0
jeresig,< 10,0,3,0,1712
timmywil,100 - 200,112,20,29,538
dmethvin,10 - 100,87,20,20,587
jzaefferer,< 10,5,1,2,329
mgol,200 - 500,249,22,123,322
rwaldron,< 10,4,21,49,314
gibson042,100 - 200,103,19,35,277
markelog,10 - 100,94,19,12,269
brandonaaron,< 10,1,0,0,250
flesler,< 10,0,0,0,200
mikesherov,10 - 100,87,1,3,85
csnover,10 - 100,22,0,14,69
davids549,< 10,0,0,0,67
wycats,< 10,0,0,0,51
gnarf,10 - 100,53,21,6,55
louisremi,10 - 100,22,0,8,3
jitter,< 10,9,0,9,35
scottgonzalez,< 10,1,0,2,31
Krinkle,10 - 100,21,0,2,27
rkatic,< 10,8,0,0,22
jbedard,10 - 100,14,20,9,22
danheberden,10 - 100,13,0,8,17
azatoth,10 - 100,12,0,7,14
cowboy,< 10,4,0,2,12
kswedberg,< 10,3,0,1,4
jboesch,10 - 100,12,0,4,10
malsup,< 10,0,0,0,11
elijahmanor,< 10,4,0,0,10
mathiasbynens,10 - 100,18,0,1,9
sindresorhus,10 - 100,15,0,1,9
ajpiano,< 10,3,0,3,7
ChrisAntaki,10 - 100,10,0,0,7
dcneiner,< 10,0,0,0,7
gf3,< 10,2,0,1,7
james-huston,< 10,7,0,0,7
rdworth,< 10,2,0,2,7
stefanpetre,< 10,0,0,0,7
xavi-,< 10,2,0,1,0
coreyjewett,< 10,0,0,0,6
jrburke,< 10,6,0,0,6
mr21,< 10,6,0,0,6
SlexAxton,10 - 100,10,0,3,5
cmcnulty,< 10,3,0,1,5
dcherman,< 10,2,0,1,5
irae,< 10,0,0,0,4
justinbmeyer,< 10,1,0,0,4
SaptakS,< 10,4,0,3,4
araghava,< 10,3,0,0,3
petersendidit,< 10,1,0,1,3
fmarcia,< 10,0,0,0,3
fracmak,< 10,6,0,1,0
LeonardoBraga,< 10,1,0,0,3
ruado1987,< 10,3,0,0,3
paulirish,< 10,1,0,1,3
PaulBRamos,< 10,6,0,0,3
stevemao,< 10,6,0,0,3
nanto,< 10,1,0,1,3
alexr101,< 10,1,0,0,2
ameyms,< 10,6,0,0,2
anthonyryan1,< 10,1,0,0,2
anton-ryzhov,< 10,1,0,1,2
arthurvr,< 10,1,0,0,2
AurelioDeRosa,< 10,2,0,0,2
batiste,< 10,1,0,0,2
bentruyman,< 10,4,0,0,2
ctalkington,< 10,2,0,1,2
ConnorAtherton,< 10,2,0,0,2
djanowski,< 10,0,0,0,2
danielchatfield,< 10,3,0,0,2
dgalvez,< 10,4,0,0,2
davidmurdoch,< 10,3,0,0,0
datag,< 10,2,0,1,2
pgilad,< 10,4,0,0,2
ikhair,< 10,2,0,0,2
MoonScript,< 10,3,0,0,2
JessThrysoee,< 10,2,0,1,2
Queeniebee,< 10,2,0,0,2
jonathansampson,< 10,1,0,0,2
kborchers,< 10,2,0,1,2
stonelee,< 10,2,0,0,2
LizaLemons,< 10,2,0,0,2
kumarmj,< 10,3,0,0,2
farmdawgnation,< 10,2,0,0,2
FarSeeing,< 10,2,0,0,2
robmorgan,< 10,1,0,1,2
tricknotes,< 10,3,0,0,2
sbisbee,< 10,1,0,1,2
hasclass,< 10,1,0,0,2
ShashankaNataraj,< 10,1,0,1,2
tjvantoll,< 10,2,0,1,2
terrycojones,< 10,3,0,0,2
treyhunner,< 10,3,0,0,2
antishok,< 10,2,0,0,2
victor-homyakov,< 10,1,0,0,2
abnud1,< 10,9,0,0,2
ros3cin,< 10,2,0,0,2
tomfuertes,< 10,2,0,0,1
aelafifi,< 10,1,0,0,1
aakinwunmi,< 10,1,0,0,1
alexlouden,< 10,1,0,1,1
sowcow,< 10,1,0,0,1
AlexanderOMara,< 10,1,0,0,1
alexisabril,< 10,2,0,0,1
cobrajs,< 10,1,0,0,1
amitmerchant1990,< 10,2,0,0,1
WebReflection,< 10,0,0,0,1
aspala,< 10,1,0,0,1
Andrei15193,< 10,1,0,1,1
amonat,< 10,1,0,0,1
andrewplummer,< 10,2,0,0,1
agcolom,< 10,2,0,0,1
valueof,< 10,2,0,0,1
NekR,< 10,1,0,0,1
campersau,< 10,1,0,0,1
mastahyeti,< 10,1,0,0,1
benjycui,< 10,2,0,0,1
bsorbo,< 10,1,0,0,1
berkerpeksag,< 10,2,0,0,1
enbo,< 10,1,0,1,1
rhyzx,< 10,1,0,0,1
teabyii,< 10,1,0,1,1
bperel,< 10,2,0,0,1
CDAGaming,< 10,2,0,0,1
callumacrae,< 10,1,0,0,1
calvinmetcalf,< 10,1,0,0,1
carldanley,< 10,1,0,0,1
ChadKillingsworth,< 10,1,0,0,1
faulkner,< 10,1,0,0,1
chrisprice,< 10,1,0,0,1
cvrebert,< 10,1,0,0,1
ChristianGrete,< 10,1,0,0,1
ckosmowski,< 10,2,0,0,1
coliff,< 10,1,0,1,1
christophetd,< 10,1,0,0,1
topaxi,< 10,1,0,0,1
danielhusar,< 10,1,0,0,1
DanielNill,< 10,1,0,0,0
sciolist,< 10,1,0,0,1
danilsomsikov,< 10,2,0,0,1
joyvuu-dave,< 10,1,0,0,1
davidben,< 10,0,0,0,1
broder,< 10,1,0,0,1
dcorb,< 10,1,0,0,1
DFoxinator,< 10,1,0,0,0
hongymagic,< 10,1,0,0,1
coopersemantics,< 10,1,0,0,0
dwilson6,< 10,1,0,0,1
dmitrygusev,< 10,1,0,0,1
mrspeaker,< 10,0,0,0,1
edg2s,< 10,3,0,1,1
eddiemonge,< 10,3,0,0,1
eriklax,< 10,2,20,0,1
fsateler,< 10,1,0,0,1
fortes,< 10,0,0,0,1
ForbesLindesay,< 10,1,0,0,1
fhemberger,< 10,3,0,0,1
gabrielschulhof,< 10,1,0,0,1
garysye,< 10,1,0,0,1
togakangaroo,< 10,1,0,0,1
gilmoreorless,< 10,0,0,0,1
ghazel,< 10,1,0,0,1
elgreg,< 10,2,0,0,1
guybedford,< 10,3,0,0,1
henryw4k,< 10,1,0,0,1
hzoo,< 10,1,0,1,1
iliakan,< 10,6,0,0,1
isaacs,< 10,1,0,0,1
jryans,< 10,0,0,0,1
fat,< 10,1,0,0,1
jacwright,< 10,1,0,0,1
netil,< 10,1,0,0,1
deadlyicon,< 10,0,0,0,1
jasonmerino,< 10,1,0,0,1
byroot,< 10,1,0,0,1
jefferyto,< 10,1,0,0,1
jdunck,< 10,1,0,0,1
jha-naman,< 10,2,0,0,1
jbruni,< 10,1,0,0,1
presbrey,< 10,1,0,1,0
jtrumbull,< 10,2,0,0,1
johnhoven,< 10,1,0,0,1
johnkpaul,< 10,1,0,0,1
jdufresne,< 10,1,0,0,1
evansj,< 10,0,0,0,1
jonhester,< 10,1,0,0,1
jobeland,< 10,1,0,1,1
jsoref,< 10,2,0,0,1
joshvarner,< 10,2,0,0,1
64lines,< 10,2,0,0,1
ufologist,< 10,1,0,0,1
JustinDrake,< 10,3,0,1,1
ksieburg,< 10,2,0,0,1
dalsgaard,< 10,0,0,0,1
shama,< 10,1,0,0,1
carpie,< 10,1,0,0,1
leobalter,< 10,4,0,0,1
poppinlp,< 10,2,0,0,1
lihanli,< 10,3,0,0,1
emibloque,< 10,1,0,0,1
morgangraphics,< 10,1,0,0,1
mgreter,< 10,2,0,0,0
mlewand,< 10,1,0,0,1
marjakh,< 10,1,0,1,1
jollytoad,< 10,0,0,0,1
markraddatz,< 10,2,0,0,1
staabm,< 10,2,0,0,1
vanderlee,< 10,2,0,0,1
matankb,< 10,1,0,1,1
matthewmueller,< 10,2,0,0,1
mmonteleone,< 10,0,0,0,1
mmurray,< 10,2,0,0,1
jugglinmike,< 10,1,0,0,1
mpetrovich,< 10,2,0,0,1
mhbseal,< 10,1,0,0,1
nazar-pc,< 10,2,0,0,1
nicolashenry,< 10,1,0,0,1
NikGovorov,< 10,1,0,0,1
niltoncsr,< 10,1,0,0,1
iamnoah,< 10,1,0,0,1
pborreli,< 10,1,0,0,1
patocallaghan,< 10,1,0,1,1
