username,merged_pull_request
timmywil,1
gibson042,4
markelog,1
mgol,22
jitter,3
csnover,3
dmethvin,1
staabm,1
mathiasbynens,1
jzaefferer,1
mikesherov,1
ameshkov,1
dangkyokhoang,1
jdufresne,1
regseb,1
jacquev6,3
sfdye,5
akfish,1
jzelinskie,3
s-t-e-v-e-n-k,59
jayfk,7
martinqt,1
enix223,1
thialfihar,1
allevin,4
adambaratz,6
nhomar,1
jacquerie,5
mfonville,5
davidbrai,2
hugovk,3
res0nance,4
jasonwhite,1
blatinier,3
beugley,1
dfarr,1
jwilk,3
mstuttgart,3
mikeage,3
Ferada,3
edhollandAL,2
sbesson,2
babineaum,3
zer0tonin,2
cameronbwhite,1
crwilcox,1
danvk,2
dpocock,2
danielquinn,2
f1nality,2
xobb1t,1
ewalker11,1
felixonmars,2
gshefer,2
jaredsmith,1
khornberg,2
LeviMatus,2
mstead,2
nagapavan,2
dx-pbuckley,2
pgolm,1
elfosardo,2
tmshn,3
singh811,2
esemi,1
Sylvus,1
tradej,2
korfuri,2
vishalsodani,2
clouserw,1
fukatani,2
mattjmorrison,1
sharkykh,2
Hanaasagi,2
AetherDeity,1
4rzael,1
alexmusa,1
chanukov,1
anlutro,1
lurch,1
EspadaV8,1
AntonNguyen,1
ardakuyumcu,1
aronwc,1
MrBlaise,1
bfirsh,1
byohay,1
ben-whitney,1
bycEEE,1
brianjmurrell,1
btorresgil,1
itsbruce,1
cro,1
ohmkay,1
colinhoglund,1
frewsxcv,1
infinity0n3,1
electrofelix,1
YakDriver,1
virtuald,1
djstein,1
edunham,1
edjackson,1
FFY00,1
gjabouley-invn,1
ggicci,1
kokosing,1
hamelsmu,1
hfuss,1
ikonst,1
iraquitan,1
isouza-daitan,1
isuruf,1
jklingen92,1
jakewilkins,1
jamesbroadhead,1
jajajasalu2,1
jappievw,1
jeffreymelvin-wf,1
JessMorgan,1
koglinjg,1
doctoryes,1
j-hui,1
jdufresne,1
umeboshi2,1
jhoblitt,1
jpmartins201,1
md2manoppello,1
jkufro,1
jhermann,1
KevinRickard,1
jglapa,1
lmazuel,1
lra,1
manuhortet,1
MarcoFalke,1
mabrowning,1
makuk66,1
monperrus,1
mloskot,1
mat128,1
matthew-brett,1
behrisch,1
MichaelPereira,1
mgorny,1
goosemo,1
physikerwelt,1
murphyzhao,1
NicholasBuse,1
nicolastrres,1
bachp,1
proyvind,1
PhilipMay,1
gamefiend,1
R1kk3r,1
klnrajareddy,1
sjcorbett,1
shibasisp,1
srijan,1
evolvedlight,1
stuglaser,1
zume2020,1
suryasr007,1
svend,1
webknjaz,1
sbellem,1
TechnicalPirate,1
gitter-badger,1
tjamet,1
TiagoDanin,1
tymofij,1
TomasTomecek,1
TuuuNya,1
tylertreat,1
boreal321,1
hegde5,1
fleeto,1
cuichenli,1
wyardley,1
bbi-yggy,1
bryanhuntesl,1
cclauss,2
chillipeper,1
brownierin,1
edquist,1
AnYeMoWang,1
namratachaudhary,1
netsgnut,1
nurupo,1
per1234,1
poulp,1
sechastain,1
Just4test,1
